24285.797 4116.4716  5  4  0.02935 -0.004976 0.06857
24285.797 4116.4716  4  5 -0.03544  0.006007 0.06857
24285.797 4116.4716  4  4  0.02685 -0.004552 0.04527
24285.797 4116.4716  4  3  0.07673 -0.013006 0.07366
24285.797 4116.4716  3  4  0.02485 -0.004213 0.07366
24285.797 4116.4716  3  3  0.07473 -0.012667 0.00868
24285.797 4116.4716  3  2  0.11217 -0.019013 0.06349
24285.797 4116.4716  2  3  0.07323 -0.012413 0.06349
24285.797 4116.4716  2  2  0.11067 -0.018759 0.00050
24285.797 4116.4716  2  1  0.13564 -0.022991 0.04018
24285.797 4116.4716  1  2  0.10967 -0.018589 0.04018
24285.797 4116.4716  1  1  0.13464 -0.022822 0.02232
23901.938 4182.5824  7  6 -0.03756  0.006572 0.23437
23901.938 4182.5824  6  6 -0.07837  0.013713 0.03385
23901.938 4182.5824  6  5 -0.00370  0.000648 0.16927
23901.938 4182.5824  5  6 -0.11335  0.019835 0.00260
23901.938 4182.5824  5  5 -0.03868  0.006769 0.05320
23901.938 4182.5824  5  4  0.02361 -0.004131 0.11607
23901.938 4182.5824  4  5 -0.06783  0.011870 0.00670
23901.938 4182.5824  4  4 -0.00554  0.000970 0.06027
23901.938 4182.5824  4  3  0.04433 -0.007758 0.07366
23901.938 4182.5824  3  4 -0.02886  0.005051 0.01116
23901.938 4182.5824  3  3  0.02101 -0.003677 0.05729
23901.938 4182.5824  3  2  0.05845 -0.010228 0.04092
23901.938 4182.5824  2  3  0.00352 -0.000617 0.01488
23901.938 4182.5824  2  2  0.04096 -0.007168 0.04650
23901.938 4182.5824  2  1  0.06593 -0.011537 0.01674
23901.938 4182.5824  1  2  0.02930 -0.005127 0.01674
23901.938 4182.5824  1  1  0.05427 -0.009497 0.03013
23901.938 4182.5824  0  1  0.04844 -0.008477 0.01563
23620.290 4232.4564  8  8 -0.11909  0.021340 0.19560
23620.290 4232.4564  8  7  0.01740 -0.003118 0.01690
23620.290 4232.4564  7  8 -0.19509  0.034959 0.01690
23620.290 4232.4564  7  7 -0.05860  0.010501 0.14289
23620.290 4232.4564  7  6  0.06083 -0.010900 0.02771
23620.290 4232.4564  6  7 -0.12510  0.022417 0.02771
23620.290 4232.4564  6  6 -0.00567  0.001016 0.10165
23620.290 4232.4564  6  5  0.09670 -0.017327 0.03314
23620.290 4232.4564  5  6 -0.06267  0.011230 0.03314
23620.290 4232.4564  5  5  0.03970 -0.007113 0.07042
23620.290 4232.4564  5  4  0.12500 -0.022399 0.03394
23620.290 4232.4564  4  5 -0.00780  0.001398 0.03394
23620.290 4232.4564  4  4  0.07750 -0.013888 0.04778
23620.290 4232.4564  4  3  0.14575 -0.026117 0.03078
23620.290 4232.4564  3  4  0.03950 -0.007079 0.03078
23620.290 4232.4564  3  3  0.10775 -0.019308 0.03248
23620.290 4232.4564  3  2  0.15893 -0.028479 0.02424
23620.290 4232.4564  2  3  0.07925 -0.014201 0.02424
23620.290 4232.4564  2  2  0.13043 -0.023372 0.02367
23620.290 4232.4564  2  1  0.16456 -0.029487 0.01458
23620.290 4232.4564  1  2  0.11143 -0.019968 0.01458
23620.290 4232.4564  1  1  0.14556 -0.026082 0.02292
22828.648 4379.2304  9  8 -0.17536  0.033641 0.19792
22828.648 4379.2304  8  8 -0.19336  0.037094 0.01409
22828.648 4379.2304  8  7 -0.08461  0.016232 0.16300
22828.648 4379.2304  7  8 -0.20936  0.040164 0.00050
22828.648 4379.2304  7  7 -0.10061  0.019301 0.02329
22828.648 4379.2304  7  6 -0.00556  0.001066 0.13247
22828.648 4379.2304  6  7 -0.11461  0.021987 0.00122
22828.648 4379.2304  6  6 -0.01956  0.003752 0.02814
22828.648 4379.2304  6  5  0.06185 -0.011864 0.10606
22828.648 4379.2304  5  6 -0.03156  0.006054 0.00189
22828.648 4379.2304  5  5  0.04985 -0.009562 0.02917
22828.648 4379.2304  5  4  0.11763 -0.022566 0.08352
22828.648 4379.2304  4  5  0.03985 -0.007644 0.00227
22828.648 4379.2304  4  4  0.10763 -0.020647 0.02685
22828.648 4379.2304  4  3  0.16183 -0.031043 0.06463
22828.648 4379.2304  3  4  0.09963 -0.019113 0.00213
